tên hồ,Qve,Tqx,Qxt,Qxm
Kanak,7.83,28.0,0.0,28.0
An Khê,34.67,46.0,4.0,42.0
Srêpốk 3,327.0,206.74,0.74,206.0
Buôn Kuốp,83.0,300.0,0.0,300.0
Buôn Tua Srah,30.0,87.0,0.0,87.0
Đồng Nai 3,45.61,89.28,0.0,89.28
Đồng Nai 4,88.9,54.6,2.5,52.1
Đơn Dương,20.27,27.83,0.0,27.83
Đại Ninh,13.0,55.7,0.7,55.0
Hàm Thuận,25.6,52.42,2.9,49.52
Đa Mi,51.64,40.25,0.0,40.25
Pleikrông,198.0,198.0,0.0,198.0
Ialy,259.0,185.0,0.0,185.0
Sê San 3,198.0,252.0,0.0,252.0
Sê San 3A,243.0,243.0,0.0,243.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,6.83,28.0,0.0,28.0
An Khê,35.67,46.0,4.0,42.0
Srêpốk 3,7.0,206.74,0.74,206.0
Buôn Kuốp,115.0,153.0,0.0,153.0
Buôn Tua Srah,36.0,87.0,0.0,87.0
Đồng Nai 3,89.29,89.29,0.0,89.29
Đồng Nai 4,88.68,157.43,2.5,154.93
Đơn Dương,15.41,18.2,0.0,18.2
Đại Ninh,6.0,51.7,0.7,51.0
Hàm Thuận,20.79,27.49,2.9,24.59
Đa Mi,25.44,44.88,0.0,44.88
Pleikrông,68.0,25.0,0.0,25.0
Ialy,120.0,340.0,0.0,340.0
Sê San 3,348.0,320.0,0.0,320.0
Sê San 3A,244.0,221.0,0.0,221.0
Sê San 4,387.0,240.0,0.0,240.0
Kanak,8.21,28.0,0.0,28.0
An Khê,37.39,46.0,4.0,42.0
Srêpốk 3,6.0,201.74,0.74,201.0
Buôn Kuốp,124.0,150.0,0.0,150.0
Buôn Tua Srah,15.0,87.0,0.0,87.0
Đồng Nai 3,94.61,80.08,0.0,80.08
Đồng Nai 4,83.79,37.95,2.5,35.45
Đơn Dương,79.84,27.4,0.0,27.4
Đại Ninh,11.0,32.7,0.7,32.0
Hàm Thuận,13.42,87.17,2.9,84.27
Đa Mi,85.95,92.34,0.0,92.34
Pleikrông,20.0,20.0,0.0,20.0
Ialy,75.0,275.0,0.0,275.0
Sê San 3,279.0,243.0,0.0,243.0
Sê San 3A,245.0,252.0,0.0,252.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,7.69,28.0,0.0,28.0
An Khê,37.39,46.0,4.0,42.0
Srêpốk 3,40.0,169.74,0.74,169.0
Buôn Kuốp,125.0,125.0,0.0,125.0
Buôn Tua Srah,13.0,87.0,0.0,87.0
Đồng Nai 3,14.15,116.04,0.0,116.04
Đồng Nai 4,114.64,114.64,2.5,112.14
Đơn Dương,17.3,27.48,0.0,27.48
Đại Ninh,4.0,52.7,0.7,52.0
Hàm Thuận,11.3,78.34,2.9,75.44
Đa Mi,75.9,90.04,0.0,90.04
Pleikrông,90.0,29.0,0.0,29.0
Ialy,89.0,205.0,0.0,205.0
Sê San 3,215.0,386.0,0.0,386.0
Sê San 3A,238.0,238.0,0.0,238.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,8.22,28.0,0.0,28.0
An Khê,37.38,46.0,4.0,42.0
Srêpốk 3,24.0,153.74,0.74,153.0
Buôn Kuốp,119.0,119.0,0.0,119.0
Buôn Tua Srah,26.0,87.0,0.0,87.0
Đồng Nai 3,45.31,132.65,0.0,132.65
Đồng Nai 4,113.16,113.17,2.5,110.67
Đơn Dương,15.07,27.86,0.0,27.86
Đại Ninh,8.0,55.7,0.7,55.0
Hàm Thuận,10.83,57.76,2.9,54.86
Đa Mi,56.21,91.77,0.0,91.77
Pleikrông,122.0,87.0,0.0,87.0
Ialy,185.0,314.0,0.0,314.0
Sê San 3,325.0,190.0,0.0,190.0
Sê San 3A,245.0,280.0,0.0,280.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,7.45,28.0,0.0,28.0
An Khê,33.61,25.0,4.0,21.0
Srêpốk 3,32.0,187.74,0.74,187.0
Buôn Kuốp,98.0,152.0,0.0,152.0
Buôn Tua Srah,22.0,0.0,0.0,0.0
Đồng Nai 3,73.64,160.97,0.0,160.97
Đồng Nai 4,171.5,160.1,2.5,157.6
Đơn Dương,15.06,27.85,0.0,27.85
Đại Ninh,11.0,55.7,0.7,55.0
Hàm Thuận,7.12,94.28,2.9,91.38
Đa Mi,92.51,92.52,0.0,92.52
Pleikrông,65.0,65.0,0.0,65.0
Ialy,110.0,329.0,0.0,329.0
Sê San 3,334.0,205.0,0.0,205.0
Sê San 3A,251.0,251.0,0.0,251.0
Sê San 4,240.0,240.0,0.0,240.0
Kanak,6.98,28.0,0.0,28.0
An Khê,4.15,4.0,4.0,0.0
Srêpốk 3,218.0,153.74,0.74,153.0
Buôn Kuốp,74.0,152.0,0.0,152.0
Buôn Tua Srah,15.0,87.0,0.0,87.0
Đồng Nai 3,83.69,156.47,0.0,156.47
