tên hồ,Qve,Tqx,Qxt,Qxm
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,2.0,0.0,0.0,0.0
Sông Tranh 2,61.61,203.7,5.7,198.0
Sông Ba Hạ,79.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,28.3,3.9,0.0,3.9
Sông Bung 2,10.22,32.64,0.0,32.64
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,2.0,0.0,0.0,0.0
Sông Tranh 2,61.6,203.7,5.7,198.0
Sông Ba Hạ,45.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,24.4,0.0,0.0,0.0
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,5.45,13.2,0.0,13.2
Sông Bung 4,69.11,156.0,0.0,156.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,1.0,0.0,0.0,0.0
Sông Tranh 2,92.13,205.7,5.7,200.0
Sông Ba Hạ,70.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,24.4,0.0,0.0,0.0
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,6.45,13.2,0.0,13.2
Sông Bung 4,25.67,156.0,0.0,156.0
Vĩnh Sơn B,2.0,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,93.1,121.53,5.7,115.83
Sông Ba Hạ,64.0,321.0,0.0,321.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,33.1,8.7,0.0,8.7
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,9.042699335548173,4.4,0.0,4.4
Sông Bung 4,103.44,60.0,0.0,60.0
Vĩnh Sơn B,3.5,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,74.76,131.53,5.7,125.83
Sông Ba Hạ,24.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,30.8,6.4,0.0,6.4
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,5.7,13.2,0.0,13.2
Sông Bung 4,60.0,60.0,0.0,60.0
Vĩnh Sơn B,3.5,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,61.79,203.98,5.7,198.28
Sông Ba Hạ,20.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,10.4,10.4,0.0,10.4
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,9.042699335548173,6.6,0.0,6.6
Sông Bung 4,60.0,60.0,0.0,60.0
Vĩnh Sơn B,3.5,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,58.78,115.7,5.7,110.0
Sông Ba Hạ,65.0,0.0,0.0,0.0
Sông Hinh,39.95,39.95,0.0,39.95
A Vương,18.1,18.1,0.0,18.1
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,5.5,13.0,0.0,13.0
Sông Bung 4,25.67,156.0,0.0,156.0
Vĩnh Sơn B,3.5,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
