tên hồ,Qve,Tqx,Qxt,Qxm
Sơn La,827.0,549.0,0,549.0
Hòa Bình,922.0,734.0,0,734.0
Thác Bà,117.17051509769094,303.87,0,303.87
Bản Chát,13.5,255.1,0,255.1
Huội Quảng,229.2,133.9,0,133.9
Sơn La,393.0,865.0,0,865.0
Hòa Bình,532.0,849.0,0,849.0
Thác Bà,117.17051509769094,143.78,0,143.78
Bản Chát,14.4,256.1,0,256.1
Huội Quảng,261.8,324.1,0,324.1
Sơn La,1345.0,623.0,0,623.0
Hòa Bình,818.0,967.0,0,967.0
Thác Bà,117.17051509769094,304.91,0,304.91
Bản Chát,13.7,256.9,0,256.9
Huội Quảng,267.2,228.1,0,228.1
Sơn La,215.0,298.0,0,298.0
Hòa Bình,865.0,845.0,0,845.0
Thác Bà,117.17051509769094,148.19,0,148.19
Bản Chát,7.0,18.7,0,18.7
Huội Quảng,69.9,42.1,0,42.1
Sơn La,409.0,187.0,0,187.0
Hòa Bình,462.0,779.0,0,779.0
Thác Bà,117.17051509769094,148.32,0,148.32
Bản Chát,7.0,204.6,0,204.6
Huội Quảng,246.3,308.5,0,308.5
Sơn La,915.0,332.0,0,332.0
Hòa Bình,705.0,1190.0,0,1190.0
Thác Bà,117.17051509769094,144.61,0,144.61
Bản Chát,20.8,259.9,0,259.9
Huội Quảng,275.4,281.3,0,281.3
Sơn La,1219.0,719.0,0,719.0
Hòa Bình,928.0,993.0,0,993.0
Thác Bà,117.17051509769094,307.24,0,307.24
Bản Chát,14.5,260.8,0,260.8
Huội Quảng,257.5,308.5,0,308.5
Sơn La,542.0,959.0,0,959.0
Hòa Bình,119.0,1362.0,0,1362.0
Thác Bà,117.17051509769094,150.02,0,150.02
Bản Chát,17.2,262.0,0,262.0
Huội Quảng,262.7,336.3,0,336.3
Sơn La,941.0,997.0,0,997.0
Hòa Bình,580.0,1001.0,0,1001.0
Thác Bà,117.17051509769094,88.54,0,88.54
Bản Chát,16.4,263.4,0,263.4
Huội Quảng,277.3,362.0,0,362.0
Sơn La,932.0,1015.0,0,1015.0
Hòa Bình,949.0,929.0,0,929.0
Thác Bà,117.17051509769094,147.42,0,147.42
Bản Chát,10.9,264.8,0,264.8
Huội Quảng,286.0,360.3,0,360.3
Sơn La,844.0,1261.0,0,1261.0
Hòa Bình,993.0,805.0,0,805.0
Thác Bà,117.17051509769094,310.99,0,310.99
Bản Chát,20.4,241.9,0,241.9
Huội Quảng,276.8,305.3,0,305.3
Sơn La,1286.0,453.0,0,453.0
Hòa Bình,459.0,271.0,0,271.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,20.6,262.5,0,262.5
Huội Quảng,297.0,360.0,0,360.0
Sơn La,1421.0,643.0,0,643.0
Hòa Bình,329.0,982.0,0,982.0
