tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Vĩnh Sơn C,15/10 23:00,975.83,981.0,971.3,4.88,0.0,0.0,,0,0
Sông Tranh 2,15/10 23:00,154.62,175.0,140.0,214.7,214.7,5.7,209.0,0,0
Sông Ba Hạ,15/10 23:00,102.9,105.0,101.0,465.0,450.0,50.0,400.0,0,1
Sông Hinh,15/10 23:00,198.94,209.0,196.0,70.62,25.85,0.0,25.85,0,0
A Vương,16/10 23:00,370.72,380.0,340.0,99.48,281.3,204.2,77.1,0,3
Sông Bung 2,16/10 23:00,595.82,605.0,565.0,141.32,167.93,135.29,32.64,0,3
Vĩnh Sơn A,16/10 23:00,771.72,775.0,765.0,9.94,13.2,0.0,13.2,0,0
Sông Bung 4,16/10 23:00,216.43,222.5,205.0,372.56,453.0,291.0,162.0,0,3
Vĩnh Sơn B,16/10 23:00,819.11,826.0,813.6,8.64,0.0,0.0,,0,0
Vĩnh Sơn C,16/10 23:00,975.95,981.0,971.3,4.88,0.0,0.0,,0,0
Sông Tranh 2,16/10 23:45,155.03,175.0,140.0,688.95,54.47,5.7,48.77,0,0
Sông Ba Hạ,16/10 23:00,102.94,105.0,101.0,766.0,700.0,300.0,400.0,0,3
Sông Hinh,16/10 23:00,199.35,209.0,196.0,75.26,23.5,0.0,23.5,0,0
A Vương,17/10 23:00,379.68,380.0,340.0,545.05,349.85,275.65,74.2,0,3
Sông Bung 2,17/10 23:00,602.3,605.0,565.0,212.52,63.05,30.41,32.64,0,1
Vĩnh Sơn A,17/10 23:00,773.0,775.0,765.0,30.28,13.2,0.0,13.2,0,0
Sông Bung 4,17/10 23:00,221.43,222.5,205.0,701.89,224.0,62.0,162.0,0,1
Vĩnh Sơn B,17/10 23:00,819.82,826.0,813.6,43.19,0.0,0.0,,0,0
Vĩnh Sơn C,17/10 23:00,976.91,981.0,971.3,23.38,0.0,0.0,,0,0
Sông Tranh 2,17/10 23:45,165.73,175.0,140.0,449.14,244.7,59.7,185.0,0,1
Sông Ba Hạ,17/10 23:00,102.79,105.0,101.0,2350.0,2200.0,1800.0,400.0,0,12
Sông Hinh,17/10 23:00,199.64,209.0,196.0,49.38,23.5,0.0,23.5,0,0
A Vương,18/10 23:00,380.0,380.0,340.0,216.95,216.95,139.45,77.5,0,2
Sông Bung 2,18/10 23:00,604.65,605.0,565.0,81.05,66.1,33.46,32.64,0,1
Vĩnh Sơn A,18/10 23:00,773.8,775.0,765.0,20.37,13.2,0.0,13.2,0,0
Sông Bung 4,18/10 23:00,222.5,222.5,205.0,494.5,494.5,334.5,160.0,0,2
Vĩnh Sơn B,18/10 23:00,820.0,826.0,813.6,8.64,0.0,0.0,,0,0
Vĩnh Sơn C,18/10 23:00,977.34,981.0,971.3,5.33,0.0,0.0,,0,0
Sông Tranh 2,18/10 23:00,166.66,175.0,140.0,363.17,209.7,5.7,204.0,0,0
Sông Ba Hạ,18/10 23:00,102.98,105.0,101.0,2227.0,2200.0,1800.0,400.0,0,12
Sông Hinh,18/10 23:00,199.84,209.0,196.0,99.54,47.78,0.0,47.78,0,0
A Vương,19/10 23:00,379.96,380.0,340.0,136.88,234.48,156.88,77.6,0,3
Sông Bung 2,19/10 23:00,604.88,605.0,565.0,103.04,132.93,100.29,32.64,0,1
Vĩnh Sơn A,19/10 23:00,774.4,775.0,765.0,28.2,13.2,0.0,13.2,0,0
Sông Bung 4,19/10 23:00,221.48,222.5,205.0,590.8,590.8,430.8,160.0,0,2
Vĩnh Sơn B,19/10 23:00,820.15,826.0,813.6,9.26,0.0,0.0,,0,0
Vĩnh Sơn C,19/10 23:00,977.64,981.0,971.3,8.0,0.0,0.0,,0,0
Sông Tranh 2,19/10 23:00,167.09,175.0,140.0,219.71,219.7,5.7,214.0,0,0
Sông Ba Hạ,19/10 23:00,102.96,105.0,101.0,1316.0,1300.0,900.0,400.0,0,9
Sông Hinh,19/10 23:00,200.02,209.0,196.0,211.15,27.42,0.0,27.42,0,0
A Vương,20/10 23:00,378.6,380.0,340.0,130.78,228.38,150.38,78.0,0,3
Sông Bung 2,20/10 23:00,603.16,605.0,565.0,88.87,126.24,93.6,32.64,0,1
Vĩnh Sơn A,20/10 23:00,775.05,775.0,765.0,25.04,13.37,0.17,13.2,0,0
Sông Bung 4,20/10 23:00,220.05,222.5,205.0,632.0,632.0,472.0,160.0,0,2
Vĩnh Sơn B,20/10 23:00,820.2,826.0,813.6,9.26,0.0,0.0,,0,0
Vĩnh Sơn C,20/10 23:00,977.9,981.0,971.3,5.33,0.0,0.0,,0,0
Sông Tranh 2,20/10 23:00,167.35,175.0,140.0,270.84,219.7,5.7,214.0,0,0
Sông Ba Hạ,20/10 23:00,102.95,105.0,101.0,754.0,700.0,300.0,400.0,0,3
Sông Hinh,20/10 23:00,200.48,209.0,196.0,81.98,25.07,0.0,25.07,0,0
A Vương,21/10 23:00,377.22,380.0,340.0,107.63,254.03,175.43,78.6,0,3
Sông Bung 2,21/10 23:00,601.51,605.0,565.0,98.35,90.88,58.24,32.64,0,1
Vĩnh Sơn A,21/10 23:00,775.34,775.0,765.0,22.37,22.37,9.17,13.2,0,0
Sông Bung 4,21/10 23:00,218.54,222.5,205.0,269.78,310.0,150.0,160.0,0,2
Vĩnh Sơn B,21/10 23:00,820.32,826.0,813.6,9.26,0.0,0.0,,0,0
Vĩnh Sơn C,21/10 23:00,978.12,981.0,971.3,5.6,0.0,0.0,,0,0
Sông Tranh 2,21/10 23:00,167.51,175.0,140.0,201.87,406.32,192.32,214.0,0,2
Sông Ba Hạ,21/10 23:00,102.97,105.0,101.0,732.0,700.0,300.0,400.0,0,3
Sông Hinh,21/10 23:00,200.64,209.0,196.0,54.83,54.83,0.0,54.83,0,0
A Vương,22/10 23:00,375.18,380.0,340.0,94.42,240.82,162.22,78.6,0,3
Sông Bung 2,22/10 23:00,598.15,605.0,565.0,69.4,155.89,123.25,32.64,0,3
Vĩnh Sơn A,22/10 23:00,775.35,775.0,765.0,23.03,23.03,9.83,13.2,0,0
Sông Bung 4,22/10 23:00,217.11,222.5,205.0,428.78,469.0,309.0,160.0,0,3
Vĩnh Sơn B,22/10 23:00,820.57,826.0,813.6,18.53,0.0,0.0,,0,0
Vĩnh Sơn C,22/10 23:00,978.31,981.0,971.3,11.19,0.0,0.0,,0,0
Sông Tranh 2,22/10 23:00,166.07,175.0,140.0,218.42,566.5,351.5,215.0,0,3
Sông Ba Hạ,22/10 23:00,102.97,105.0,101.0,727.0,700.0,300.0,400.0,0,3
Sông Hinh,22/10 23:00,200.78,209.0,196.0,54.83,54.83,0.0,54.83,0,0
A Vương,23/10 23:00,370.92,380.0,340.0,82.06,82.06,4.76,77.3,0,1
Sông Bung 2,23/10 23:00,595.68,605.0,565.0,52.04,52.04,19.4,32.64,0,1
Vĩnh Sơn A,23/10 23:00,775.5,775.0,765.0,32.85,32.85,19.65,13.2,0,0
Sông Bung 4,23/10 23:00,216.23,222.5,205.0,442.22,402.0,242.0,160.0,0,2
Vĩnh Sơn B,23/10 23:00,820.9,826.0,813.6,27.79,0.0,0.0,,0,0
Vĩnh Sơn C,23/10 23:00,978.59,981.0,971.3,11.19,0.0,0.0,,0,0
Sông Tranh 2,23/10 23:45,165.42,175.0,140.0,1297.6,1297.6,1080.6,217.0,0,6
Sông Ba Hạ,23/10 23:00,102.95,105.0,101.0,710.0,700.0,300.0,400.0,0,3
Sông Hinh,23/10 23:00,200.95,209.0,196.0,71.93,43.48,0.0,43.48,0,0
A Vương,24/10 23:00,370.92,380.0,340.0,129.45,129.45,52.05,77.4,0,1
Sông Bung 2,24/10 23:00,596.32,605.0,565.0,65.75,52.44,19.8,32.64,0,1
Vĩnh Sơn A,24/10 23:00,775.68,775.0,765.0,52.43,44.65,31.45,13.2,0,0
Sông Bung 4,24/10 23:00,216.92,222.5,205.0,245.22,205.0,45.0,160.0,0,1
Vĩnh Sơn B,24/10 23:00,821.25,826.0,813.6,59.58,0.0,0.0,,0,0
Vĩnh Sơn C,24/10 23:00,978.96,981.0,971.3,27.99,0.0,0.0,,0,0
Sông Tranh 2,24/10 23:45,168.18,175.0,140.0,1699.37,471.59,261.59,210.0,0,2
Sông Ba Hạ,24/10 23:00,102.97,105.0,101.0,662.0,700.0,300.0,400.0,0,3
Sông Hinh,24/10 23:00,201.17,209.0,196.0,174.25,19.19,0.0,19.19,0,0
A Vương,25/10 23:00,370.92,380.0,340.0,105.93,105.93,28.53,77.4,0,1
Sông Bung 2,25/10 23:00,596.41,605.0,565.0,52.44,52.44,19.8,32.64,0,1
Vĩnh Sơn A,25/10 23:00,775.7,775.0,765.0,34.29,45.96,32.76,13.2,0,0
Sông Bung 4,25/10 23:00,216.97,222.5,205.0,205.0,205.0,45.0,160.0,0,1
Vĩnh Sơn B,25/10 23:00,821.55,826.0,813.6,29.79,0.0,0.0,,0,0
Vĩnh Sơn C,25/10 23:00,979.4,981.0,971.3,17.46,0.0,0.0,,0,0
Sông Tranh 2,25/10 23:45,169.68,175.0,140.0,630.05,630.05,422.05,208.0,0,2
Sông Ba Hạ,25/10 23:00,102.65,105.0,101.0,1060.0,1400.0,1000.0,400.0,0,10
Sông Hinh,25/10 23:00,202.18,209.0,196.0,292.06,54.83,0.0,54.83,0,0
A Vương,26/10 23:00,370.92,380.0,340.0,86.93,86.93,9.53,77.4,0,1
Sông Bung 2,26/10 23:00,596.43,605.0,565.0,52.44,52.44,19.8,32.64,0,1
Vĩnh Sơn A,26/10 23:00,775.6,775.0,765.0,39.41,39.41,26.21,13.2,0,0
