tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Đa Mi,08/01 23:00,323.55,325.0,323.0,39.62,23.51,0.0,23.51,0,0
Pleikrông,09/01 23:00,569.98,570.0,537.0,134.0,99.0,0.0,99.0,0,0
Ialy,09/01 23:00,513.4,515.0,490.0,229.0,379.0,0.0,379.0,0,0
Sê San 3,09/01 23:00,303.9,304.5,303.2,392.0,243.0,0.0,243.0,0,0
Sê San 3A,09/01 23:00,238.64,239.0,238.5,443.0,443.0,0.0,443.0,0,0
Sê San 4,09/01 23:00,211.21,215.0,210.0,524.0,230.0,0.0,230.0,0,0
Kanak,09/01 23:00,514.4,515.0,485.0,11.9,28.0,0.0,28.0,0,0
An Khê,09/01 23:00,428.61,429.0,427.0,34.12,48.5,4.0,44.5,0,1
Srêpốk 3,09/01 23:00,269.51,272.0,268.0,330.0,399.69,0.69,399.0,2,0
Buôn Kuốp,09/01 23:00,409.01,412.0,409.0,170.0,298.0,0.0,298.0,0,0
Buôn Tua Srah,09/01 23:00,486.84,487.5,465.0,29.0,85.0,0.0,85.0,0,0
Đồng Nai 3,09/01 23:00,589.15,590.0,570.0,8.59,88.65,0.0,88.65,0,0
Đồng Nai 4,09/01 23:00,475.0,476.0,474.0,98.48,87.03,2.5,84.53,0,0
Đơn Dương,09/01 23:00,1042.08,1042.0,1018.0,18.89,31.68,0.0,31.68,0,0
Đại Ninh,09/01 23:00,879.42,880.0,860.0,11.0,55.7,0.7,55.0,0,0
Hàm Thuận,09/01 23:00,601.33,605.0,575.0,8.25,68.59,2.9,65.69,0,0
Đa Mi,09/01 23:00,323.54,325.0,323.0,67.39,31.83,0.0,31.83,0,0
Pleikrông,10/01 23:00,569.98,570.0,537.0,99.0,99.0,0.0,99.0,0,0
Ialy,10/01 23:00,513.48,515.0,490.0,245.0,396.0,0.0,396.0,0,0
Sê San 3,10/01 23:00,303.87,304.5,303.2,408.0,450.0,0.0,450.0,0,0
Sê San 3A,10/01 23:00,238.85,239.0,238.5,471.0,547.0,0.0,547.0,0,0
Sê San 4,10/01 23:00,211.06,215.0,210.0,671.0,230.0,0.0,230.0,0,0
Kanak,10/01 23:00,514.4,515.0,485.0,10.6,28.0,0.0,28.0,0,0
An Khê,10/01 23:00,428.51,429.0,427.0,7.83,25.0,4.0,21.0,0,1
Srêpốk 3,10/01 23:00,269.21,272.0,268.0,355.0,203.68,0.68,203.0,2,0
Buôn Kuốp,10/01 23:00,409.41,412.0,409.0,147.0,300.0,0.0,300.0,0,0
Buôn Tua Srah,10/01 23:00,486.85,487.5,465.0,32.0,85.0,0.0,85.0,0,0
Đồng Nai 3,10/01 23:00,589.11,590.0,570.0,88.65,88.65,0.0,88.65,0,0
Đồng Nai 4,10/01 23:00,475.19,476.0,474.0,91.57,57.2,2.5,54.7,0,0
Đơn Dương,10/01 23:00,1042.02,1042.0,1018.0,18.83,31.62,0.0,31.62,0,0
Đại Ninh,10/01 23:00,879.35,880.0,860.0,13.0,55.7,0.7,55.0,0,0
Hàm Thuận,10/01 23:00,601.3,605.0,575.0,15.03,8.33,2.9,5.43,0,0
Đa Mi,10/01 23:00,323.52,325.0,323.0,6.57,4.9,0.0,4.9,0,0
Pleikrông,11/01 23:00,569.98,570.0,537.0,76.0,99.0,0.0,99.0,0,0
Ialy,11/01 23:00,513.44,515.0,490.0,189.0,264.0,0.0,264.0,0,0
Sê San 3,11/01 23:00,303.85,304.5,303.2,273.0,263.0,0.0,263.0,0,0
Sê San 3A,11/01 23:00,238.85,239.0,238.5,245.0,220.0,0.0,220.0,0,0
Sê San 4,11/01 23:00,211.07,215.0,210.0,230.0,230.0,0.0,230.0,0,0
Kanak,11/01 23:00,514.32,515.0,485.0,9.15,28.0,0.0,28.0,0,0
An Khê,11/01 23:00,428.57,429.0,427.0,33.42,46.0,4.0,42.0,0,1
Srêpốk 3,11/01 23:00,268.86,272.0,268.0,181.0,393.67,0.67,393.0,2,0
Buôn Kuốp,11/01 23:00,410.04,412.0,409.0,154.0,302.0,0.0,302.0,0,0
Buôn Tua Srah,11/01 23:00,486.76,487.5,465.0,18.0,135.0,0.0,135.0,0,0
Đồng Nai 3,11/01 23:00,589.05,590.0,570.0,1.31,88.65,0.0,88.65,0,0
Đồng Nai 4,11/01 23:00,475.23,476.0,474.0,95.82,95.82,2.5,93.32,0,0
Đơn Dương,11/01 23:00,1042.02,1042.0,1018.0,18.66,10.52,0.0,10.52,0,0
Đại Ninh,11/01 23:00,879.28,880.0,860.0,16.0,45.7,0.7,45.0,0,0
Hàm Thuận,11/01 23:00,601.28,605.0,575.0,16.21,9.51,2.9,6.61,0,0
Đa Mi,11/01 23:00,323.43,325.0,323.0,7.82,6.15,0.0,6.15,0,0
Pleikrông,12/01 23:00,569.97,570.0,537.0,134.0,99.0,0.0,99.0,0,0
Ialy,12/01 23:00,513.46,515.0,490.0,242.0,167.0,0.0,167.0,0,0
Sê San 3,12/01 23:00,303.95,304.5,303.2,180.0,243.0,0.0,243.0,0,0
Sê San 3A,12/01 23:00,238.93,239.0,238.5,292.0,281.0,0.0,281.0,0,0
Sê San 4,12/01 23:00,211.02,215.0,210.0,387.0,240.0,0.0,240.0,0,0
Kanak,12/01 23:00,514.28,515.0,485.0,10.2,20.52,0.0,20.52,0,0
An Khê,12/01 23:00,428.68,429.0,427.0,34.69,46.0,4.0,42.0,0,1
Srêpốk 3,12/01 23:00,269.4,272.0,268.0,276.0,202.69,0.69,202.0,2,0
Buôn Kuốp,12/01 23:00,409.66,412.0,409.0,147.0,300.0,0.0,300.0,0,0
Buôn Tua Srah,12/01 23:00,486.69,487.5,465.0,26.0,146.0,0.0,146.0,0,0
Đồng Nai 3,12/01 23:00,589.02,590.0,570.0,86.6,86.6,0.0,86.6,0,0
Đồng Nai 4,12/01 23:00,475.21,476.0,474.0,98.25,86.79,2.5,84.29,0,0
Đơn Dương,12/01 23:00,1042.09,1042.0,1018.0,23.03,20.13,0.0,20.13,0,0
