tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Ialy,24/11 23:00,510.66,515.0,490.0,204.0,204.0,0.0,204.0,0,0
Sê San 3,24/11 23:00,304.1,304.5,303.2,243.0,243.0,0.0,243.0,0,0
Sê San 3A,24/11 23:00,238.88,239.0,238.5,246.0,282.0,0.0,282.0,0,0
Sê San 4,24/11 23:00,213.37,215.0,210.0,283.0,430.0,0.0,430.0,0,0
Kanak,24/11 23:00,512.61,515.0,485.0,13.9,0.0,0.0,0.0,0,0
An Khê,24/11 23:00,428.52,429.0,427.0,41.22,4.0,4.0,0.0,0,1
Srêpốk 3,24/11 23:00,270.09,272.0,268.0,400.0,187.0,0.0,187.0,0,0
Buôn Kuốp,24/11 23:00,409.8,412.0,409.0,218.0,307.0,0.0,307.0,0,0
Buôn Tua Srah,24/11 23:00,485.16,487.5,465.0,69.0,88.0,0.0,88.0,0,0
Đồng Nai 3,24/11 23:00,588.39,590.0,570.0,87.34,0.0,0.0,0.0,0,0
Đồng Nai 4,24/11 23:00,475.25,476.0,474.0,2.2,2.5,2.5,0.0,0,0
Đơn Dương,24/11 23:00,1041.14,1042.0,1018.0,52.83,52.54,15.0,37.54,0,1
Đại Ninh,24/11 23:00,875.5,880.0,860.0,71.0,20.7,0.7,20.0,0,0
Hàm Thuận,24/11 23:00,600.08,605.0,575.0,69.94,2.9,2.9,0.0,0,0
Đa Mi,24/11 23:00,323.96,325.0,323.0,3.33,0.0,0.0,0.0,0,0
Thượng Kon Tum,25/11 23:00,1160.0,,,34.39,34.77,6.99,27.78,0,0
Pleikrông,25/11 23:00,568.66,570.0,537.0,170.0,100.0,0.0,100.0,0,0
Ialy,25/11 23:00,510.48,515.0,490.0,173.0,408.0,0.0,408.0,0,0
Sê San 3,25/11 23:00,303.95,304.5,303.2,457.0,46.0,0.0,46.0,0,0
Sê San 3A,25/11 23:00,239.0,239.0,238.5,513.0,513.0,0.0,513.0,0,0
Sê San 4,25/11 23:00,213.64,215.0,210.0,215.0,215.0,0.0,215.0,0,0
Kanak,25/11 23:00,512.7,515.0,485.0,13.4,0.0,0.0,0.0,0,0
An Khê,25/11 23:00,428.54,429.0,427.0,15.62,28.0,4.0,24.0,0,1
Srêpốk 3,25/11 23:00,270.62,272.0,268.0,188.0,169.0,0.0,169.0,0,0
Buôn Kuốp,25/11 23:00,411.02,412.0,409.0,224.0,297.0,0.0,297.0,0,0
Buôn Tua Srah,25/11 23:00,485.29,487.5,465.0,80.0,88.0,0.0,88.0,0,0
Đồng Nai 3,25/11 23:00,588.54,590.0,570.0,116.45,0.0,0.0,0.0,0,0
Đồng Nai 4,25/11 23:00,475.28,476.0,474.0,21.27,9.81,2.5,7.31,0,0
Đơn Dương,25/11 23:00,1041.08,1042.0,1018.0,40.45,37.55,0.0,37.55,0,0
Đại Ninh,25/11 23:00,875.7,880.0,860.0,48.0,8.7,0.7,8.0,0,0
Hàm Thuận,25/11 23:00,600.21,605.0,575.0,36.42,2.9,2.9,0.0,0,0
Đa Mi,25/11 23:00,323.99,325.0,323.0,3.33,0.0,0.0,0.0,0,0
Thượng Kon Tum,26/11 23:00,1160.0,,,35.36,35.44,7.66,27.78,0,0
Pleikrông,26/11 23:00,568.7,570.0,537.0,169.0,99.0,0.0,99.0,0,0
Ialy,26/11 23:00,510.28,515.0,490.0,168.0,226.0,0.0,226.0,0,0
Sê San 3,26/11 23:00,303.9,304.5,303.2,258.0,191.0,0.0,191.0,0,0
Sê San 3A,26/11 23:00,238.8,239.0,238.5,249.0,293.0,0.0,293.0,0,0
Sê San 4,26/11 23:00,213.91,215.0,210.0,155.0,155.0,0.0,155.0,0,0
Kanak,26/11 23:00,512.78,515.0,485.0,14.7,0.0,0.0,0.0,0,0
An Khê,26/11 23:00,428.8,429.0,427.0,38.63,12.8,4.0,8.8,0,1
Srêpốk 3,26/11 23:00,270.59,272.0,268.0,267.0,374.0,0.0,374.0,0,0
Buôn Kuốp,26/11 23:00,410.86,412.0,409.0,255.0,295.0,0.0,295.0,0,0
Buôn Tua Srah,26/11 23:00,485.42,487.5,465.0,51.0,88.0,0.0,88.0,0,0
Đồng Nai 3,26/11 23:00,588.67,590.0,570.0,101.89,0.0,0.0,0.0,0,0
Đồng Nai 4,26/11 23:00,475.34,476.0,474.0,2.5,2.5,2.5,0.0,0,0
Đơn Dương,26/11 23:00,1041.15,1042.0,1018.0,40.41,37.51,0.0,37.51,0,0
Đại Ninh,26/11 23:00,875.84,880.0,860.0,37.0,15.7,0.7,15.0,0,0
Hàm Thuận,26/11 23:00,600.33,605.0,575.0,36.42,2.9,2.9,0.0,0,0
Đa Mi,26/11 23:00,324.0,325.0,323.0,1.67,0.0,0.0,0.0,0,0
Thượng Kon Tum,27/11 23:00,1160.0,,,35.36,35.44,7.66,27.78,0,0
Pleikrông,27/11 23:00,568.79,570.0,537.0,169.0,99.0,0.0,99.0,0,0
Ialy,27/11 23:00,510.3,515.0,490.0,145.0,74.0,0.0,74.0,0,0
Sê San 3,27/11 23:00,303.24,304.5,303.2,119.0,243.0,0.0,243.0,0,0
Sê San 3A,27/11 23:00,238.54,239.0,238.5,248.0,479.0,0.0,479.0,0,0
Sê San 4,27/11 23:00,214.03,215.0,210.0,656.0,215.0,0.0,215.0,0,0
Kanak,27/11 23:00,512.92,515.0,485.0,22.8,0.0,0.0,0.0,0,0
An Khê,27/11 23:00,428.82,429.0,427.0,13.56,28.0,4.0,24.0,0,1
Srêpốk 3,27/11 23:00,270.64,272.0,268.0,341.0,378.0,0.0,378.0,0,0
Buôn Kuốp,27/11 23:00,411.44,412.0,409.0,220.0,293.0,0.0,293.0,0,0
Buôn Tua Srah,27/11 23:00,485.54,487.5,465.0,61.0,88.0,0.0,88.0,0,0
Đồng Nai 3,27/11 23:00,588.73,590.0,570.0,101.89,0.0,0.0,0.0,0,0
Đồng Nai 4,27/11 23:00,475.42,476.0,474.0,13.96,2.5,2.5,0.0,0,0
Đơn Dương,27/11 23:00,1041.2,1042.0,1018.0,14.24,37.5,0.0,37.5,0,0
Đại Ninh,27/11 23:00,875.98,880.0,860.0,25.0,1.7,0.7,1.0,0,0
Hàm Thuận,27/11 23:00,600.47,605.0,575.0,36.42,2.9,2.9,0.0,0,0
Đa Mi,27/11 23:00,324.02,325.0,323.0,1.67,0.0,0.0,0.0,0,0
Thượng Kon Tum,28/11 23:00,1160.0,,,35.36,35.44,7.66,27.78,0,0
Pleikrông,28/11 23:00,568.83,570.0,537.0,169.0,99.0,0.0,99.0,0,0
Ialy,28/11 23:00,510.31,515.0,490.0,160.0,267.0,0.0,267.0,0,0
Sê San 3,28/11 23:00,303.41,304.5,303.2,357.0,486.0,0.0,486.0,0,0
Sê San 3A,28/11 23:00,238.79,239.0,238.5,490.0,581.0,0.0,581.0,0,0
Sê San 4,28/11 23:00,213.91,215.0,210.0,664.0,370.0,0.0,370.0,0,0
Kanak,28/11 23:00,513.07,515.0,485.0,12.4,0.0,0.0,0.0,0,0
An Khê,28/11 23:00,428.4,429.0,427.0,17.64,52.0,4.0,48.0,0,1
Srêpốk 3,28/11 23:00,270.9,272.0,268.0,279.0,386.0,0.0,386.0,0,0
Buôn Kuốp,28/11 23:00,411.6,412.0,409.0,245.0,245.0,0.0,245.0,0,0
Buôn Tua Srah,28/11 23:00,485.61,487.5,465.0,67.0,87.0,0.0,87.0,0,0
Đồng Nai 3,28/11 23:00,588.8,590.0,570.0,111.31,53.09,0.0,53.09,0,0
Đồng Nai 4,28/11 23:00,475.39,476.0,474.0,115.6,138.5,2.5,136.0,0,0
Đơn Dương,28/11 23:00,1041.23,1042.0,1018.0,35.21,37.54,0.0,37.54,0,0
Đại Ninh,28/11 23:00,876.0,880.0,860.0,25.0,55.7,0.7,55.0,0,0
Hàm Thuận,28/11 23:00,600.5,605.0,575.0,34.43,108.18,2.9,105.28,0,0
Đa Mi,28/11 23:00,324.12,325.0,323.0,106.46,66.18,0.0,66.18,0,0
Thượng Kon Tum,29/11 23:00,1160.0,,,35.36,35.44,7.66,27.78,0,0
Pleikrông,29/11 23:00,568.84,570.0,537.0,132.0,202.0,0.0,202.0,0,0
Ialy,29/11 23:00,510.37,515.0,490.0,237.0,63.0,0.0,63.0,0,0
Sê San 3,29/11 23:00,304.0,304.5,303.2,75.0,9.0,0.0,9.0,0,0
Sê San 3A,29/11 23:00,238.53,239.0,238.5,0.0,491.0,0.0,491.0,0,0
Sê San 4,29/11 23:00,213.86,215.0,210.0,375.0,375.0,0.0,375.0,0,0
Kanak,29/11 23:00,513.13,515.0,485.0,19.6,14.0,0.0,14.0,0,0
An Khê,29/11 23:00,428.03,429.0,427.0,28.65,44.5,4.0,40.5,0,1
Srêpốk 3,29/11 23:00,271.0,272.0,268.0,253.0,378.0,0.0,378.0,0,0
Buôn Kuốp,29/11 23:00,411.19,412.0,409.0,206.0,308.0,0.0,308.0,0,0
Buôn Tua Srah,29/11 23:00,485.7,487.5,465.0,44.0,95.0,0.0,95.0,0,0
Đồng Nai 3,29/11 23:00,588.49,590.0,570.0,133.04,147.6,0.0,147.6,0,0
Đồng Nai 4,29/11 23:00,475.33,476.0,474.0,144.06,155.51,2.5,153.01,0,0
Đơn Dương,29/11 23:00,1041.24,1042.0,1018.0,40.44,37.53,0.0,37.53,0,0
Đại Ninh,29/11 23:00,875.95,880.0,860.0,25.0,55.7,0.7,55.0,0,0
Hàm Thuận,29/11 23:00,600.46,605.0,575.0,44.11,97.75,2.9,94.85,0,0
Đa Mi,29/11 23:00,324.32,325.0,323.0,97.64,54.03,0.0,54.03,0,0
Thượng Kon Tum,30/11 23:00,1160.0,,,34.39,34.47,6.69,27.78,0,0
Pleikrông,30/11 23:00,568.82,570.0,537.0,132.0,202.0,0.0,202.0,0,0
Ialy,30/11 23:00,510.49,515.0,490.0,281.0,340.0,0.0,340.0,0,0
Sê San 3,30/11 23:00,304.45,304.5,303.2,359.0,380.0,0.0,380.0,0,0
Sê San 3A,30/11 23:00,238.91,239.0,238.5,491.0,502.0,0.0,502.0,0,0
Sê San 4,30/11 23:00,213.7,215.0,210.0,674.0,380.0,0.0,380.0,0,0
Kanak,30/11 23:00,513.19,515.0,485.0,16.7,14.0,0.0,14.0,0,0
An Khê,30/11 23:00,428.0,429.0,427.0,15.78,26.5,4.0,22.5,0,1
Srêpốk 3,30/11 23:00,271.09,272.0,268.0,105.0,402.0,0.0,402.0,0,0
Buôn Kuốp,30/11 23:00,411.11,412.0,409.0,213.0,155.0,0.0,155.0,0,0
Buôn Tua Srah,30/11 23:00,485.74,487.5,465.0,55.0,87.0,0.0,87.0,0,0
Đồng Nai 3,30/11 23:00,588.85,590.0,570.0,148.65,177.76,0.0,177.76,0,0
Đồng Nai 4,30/11 23:00,475.32,476.0,474.0,184.94,207.86,2.5,205.36,0,0
Đơn Dương,30/11 23:00,1041.21,1042.0,1018.0,32.23,37.17,0.0,37.17,0,0
Đại Ninh,30/11 23:00,875.86,880.0,860.0,20.0,55.7,0.7,55.0,0,0
Hàm Thuận,30/11 23:00,600.38,605.0,575.0,29.72,2.9,2.9,0.0,0,0
Đa Mi,30/11 23:00,324.51,325.0,323.0,3.6,64.99,0.0,64.99,0,0
Thượng Kon Tum,01/12 23:00,1160.0,,,34.39,34.47,6.69,27.78,0,0
Pleikrông,01/12 23:00,568.9,570.0,537.0,272.0,202.0,0.0,202.0,0,0
Ialy,01/12 23:00,510.46,515.0,490.0,215.0,215.0,0.0,215.0,0,0
Sê San 3,01/12 23:00,304.42,304.5,303.2,229.0,101.0,0.0,101.0,0,0
Sê San 3A,01/12 23:00,238.5,239.0,238.5,67.0,300.0,0.0,300.0,0,0
Sê San 4,01/12 23:00,213.84,215.0,210.0,367.0,220.0,0.0,220.0,0,0
Kanak,01/12 23:00,513.26,515.0,485.0,16.8,14.0,0.0,14.0,0,0
An Khê,01/12 23:00,427.95,429.0,427.0,15.92,26.5,4.0,22.5,0,1
Srêpốk 3,01/12 23:00,270.98,272.0,268.0,249.0,380.0,0.0,380.0,0,0
Buôn Kuốp,01/12 23:00,411.05,412.0,409.0,192.0,309.0,0.0,309.0,0,0
Buôn Tua Srah,01/12 23:00,485.82,487.5,465.0,10.0,87.0,0.0,87.0,0,0
Đồng Nai 3,01/12 23:00,588.86,590.0,570.0,121.41,31.07,0.0,31.07,0,0
Đồng Nai 4,01/12 23:00,475.3,476.0,474.0,44.08,44.08,2.5,41.58,0,0
Đơn Dương,01/12 23:00,1041.22,1042.0,1018.0,37.8,37.51,0.0,37.51,0,0
Đại Ninh,01/12 23:00,875.85,880.0,860.0,16.0,49.7,0.7,49.0,0,0
Hàm Thuận,01/12 23:00,600.42,605.0,575.0,28.54,102.29,2.9,99.39,0,0
Đa Mi,01/12 23:00,324.09,325.0,323.0,99.72,64.16,0.0,64.16,0,0
Thượng Kon Tum,02/12 23:00,1160.0,,,36.32,36.4,8.62,27.78,0,0
Pleikrông,02/12 23:00,568.95,570.0,537.0,70.0,0.0,0.0,0.0,0,0
Ialy,02/12 23:00,510.44,515.0,490.0,114.0,181.0,0.0,181.0,0,0
Sê San 3,02/12 23:00,303.7,304.5,303.2,190.0,243.0,0.0,243.0,0,0
Sê San 3A,02/12 23:00,238.63,239.0,238.5,257.0,293.0,0.0,293.0,0,0
Sê San 4,02/12 23:00,213.9,215.0,210.0,367.0,220.0,0.0,220.0,0,0
Kanak,02/12 23:00,513.33,515.0,485.0,13.4,14.0,0.0,14.0,0,0
An Khê,02/12 23:00,428.08,429.0,427.0,25.43,26.5,4.0,22.5,0,1
Srêpốk 3,02/12 23:00,271.25,272.0,268.0,268.0,379.0,0.0,379.0,0,0
Buôn Kuốp,02/12 23:00,409.77,412.0,409.0,205.0,307.0,0.0,307.0,0,0
Buôn Tua Srah,02/12 23:00,485.89,487.5,465.0,42.0,23.0,0.0,23.0,0,0
Đồng Nai 3,02/12 23:00,588.86,590.0,570.0,121.66,48.88,0.0,48.88,0,0
Đồng Nai 4,02/12 23:00,475.35,476.0,474.0,83.49,83.49,2.5,80.99,0,0
Đơn Dương,02/12 23:00,1041.27,1042.0,1018.0,56.12,37.51,0.0,37.51,0,0
Đại Ninh,02/12 23:00,875.89,880.0,860.0,26.0,6.7,0.7,6.0,0,0
Hàm Thuận,02/12 23:00,600.51,605.0,575.0,36.42,2.9,2.9,0.0,0,0
Đa Mi,02/12 23:00,324.08,325.0,323.0,3.33,0.0,0.0,0.0,0,0
Thượng Kon Tum,03/12 23:00,1160.0,,,47.18,47.26,19.48,27.78,0,0
Pleikrông,03/12 23:00,569.04,570.0,537.0,270.0,200.0,0.0,200.0,0,0
Ialy,03/12 23:00,510.4,515.0,490.0,296.0,229.0,0.0,229.0,0,0
Sê San 3,03/12 23:00,304.43,304.5,303.2,230.0,243.0,0.0,243.0,0,0
Sê San 3A,03/12 23:00,238.75,239.0,238.5,251.0,274.0,0.0,274.0,0,0
Sê San 4,03/12 23:00,213.98,215.0,210.0,440.0,440.0,0.0,440.0,0,0
Kanak,03/12 23:00,513.38,515.0,485.0,,0.0,0.0,0.0,0,0
An Khê,03/12 23:00,428.89,429.0,427.0,43.57,52.0,4.0,48.0,0,1
Srêpốk 3,03/12 23:00,271.22,272.0,268.0,179.0,374.0,0.0,374.0,0,0
Buôn Kuốp,03/12 23:00,409.17,412.0,409.0,205.0,307.0,0.0,307.0,0,0
Buôn Tua Srah,03/12 23:00,485.99,487.5,465.0,53.0,87.0,0.0,87.0,0,0
Đồng Nai 3,03/12 23:00,588.87,590.0,570.0,118.28,45.5,0.0,45.5,0,0
Đồng Nai 4,03/12 23:00,47537.0,476.0,474.0,46.89,69.81,2.5,67.31,0,0
Đơn Dương,03/12 23:00,1041.57,1042.0,1018.0,69.2,37.51,0.0,37.51,0,0
Đại Ninh,03/12 23:00,876.05,880.0,860.0,58.0,0.7,0.7,0.0,0,0
Hàm Thuận,03/12 23:00,600.63,605.0,575.0,36.42,2.9,2.9,0.0,0,0
Đa Mi,03/12 23:00,324.13,325.0,323.0,3.06,0.0,0.0,0.0,0,0
Thượng Kon Tum,04/12 23:00,1160.0,,,35.36,35.44,7.66,27.78,0,0
Pleikrông,04/12 23:00,569.17,570.0,537.0,200.0,200.0,0.0,200.0,0,0
Ialy,04/12 23:00,510.59,515.0,490.0,272.0,204.0,0.0,204.0,0,0
Sê San 3,04/12 23:00,303.7,304.5,303.2,218.0,210.0,0.0,210.0,0,0
Sê San 3A,04/12 23:00,238.57,239.0,238.5,223.0,223.0,0.0,223.0,0,0
Sê San 4,04/12 23:00,214.01,215.0,210.0,249.0,220.0,0.0,220.0,0,0
Kanak,04/12 23:00,513.41,515.0,485.0,13.6,14.0,0.0,14.0,0,0
An Khê,04/12 23:00,428.77,429.0,427.0,42.67,52.0,4.0,48.0,0,1
Srêpốk 3,04/12 23:00,271.04,272.0,268.0,322.0,350.0,0.0,350.0,0,0
Buôn Kuốp,04/12 23:00,409.5,412.0,409.0,182.0,208.0,0.0,208.0,0,0
Buôn Tua Srah,04/12 23:00,486.12,487.5,465.0,38.0,136.0,0.0,136.0,0,0
Đồng Nai 3,04/12 23:00,588.88,590.0,570.0,74.0,30.3,0.0,30.3,0,0
Đồng Nai 4,04/12 23:00,475.43,476.0,474.0,47.74,47.74,2.5,45.24,0,0
Đơn Dương,04/12 23:00,1041.84,1042.0,1018.0,53.74,87.46,50.0,37.46,0,1
Đại Ninh,04/12 23:00,876.3,880.0,860.0,58.0,0.7,0.7,0.0,0,0
Hàm Thuận,04/12 23:00,600.73,605.0,575.0,23.66,80.25,2.9,77.35,0,0
Đa Mi,04/12 23:00,324.06,325.0,323.0,11.05,44.94,0.0,44.94,0,0
Thượng Kon Tum,05/12 23:00,1160.0,,,142.56,142.64,114.86,27.78,0,0
Pleikrông,05/12 23:00,569.24,570.0,537.0,130.0,200.0,0.0,200.0,0,0
Ialy,05/12 23:00,510.62,515.0,490.0,302.0,83.0,0.0,83.0,0,0
Sê San 3,05/12 23:00,304.31,304.5,303.2,90.0,30.0,0.0,30.0,0,0
Sê San 3A,05/12 23:00,238.5,239.0,238.5,0.0,0.0,0.0,0.0,0,0
Sê San 4,05/12 23:00,214.08,215.0,210.0,13.0,220.0,0.0,220.0,0,0
Kanak,05/12 23:00,513.43,515.0,485.0,13.6,14.0,0.0,14.0,0,0
An Khê,05/12 23:00,428.79,429.0,427.0,52.03,52.0,4.0,48.0,0,1
Srêpốk 3,05/12 23:00,270.81,272.0,268.0,244.0,393.0,0.0,393.0,0,0
Buôn Kuốp,05/12 23:00,409.2,412.0,409.0,201.0,303.0,0.0,303.0,0,0
Buôn Tua Srah,05/12 23:00,486.18,487.5,465.0,63.0,0.0,0.0,0.0,0,0
Đồng Nai 3,05/12 23:00,588.89,590.0,570.0,133.48,60.7,0.0,60.7,0,0
Đồng Nai 4,05/12 23:00,475.18,476.0,474.0,61.64,61.64,2.5,59.14,0,0
Đơn Dương,05/12 23:00,1041.74,1042.0,1018.0,63.23,52.47,15.0,37.47,0,1
Đại Ninh,05/12 23:00,876.56,880.0,860.0,54.0,0.7,0.7,0.0,0,0
Hàm Thuận,05/12 23:00,600.75,605.0,575.0,18.76,5.35,2.9,2.45,0,0
Đa Mi,05/12 23:00,324.08,325.0,323.0,4.68,44.96,0.0,44.96,0,0
Thượng Kon Tum,06/12 23:00,1160.0,,,59.32,59.4,31.62,27.78,0,0
Pleikrông,06/12 23:00,569.42,570.0,537.0,200.0,200.0,0.0,200.0,0,0
Ialy,06/12 23:00,510.8,515.0,490.0,348.0,348.0,0.0,348.0,0,0
Sê San 3,06/12 23:00,303.81,304.5,303.2,365.0,51.0,0.0,51.0,0,0
Sê San 3A,06/12 23:00,238.5,239.0,238.5,7.0,476.0,0.0,476.0,0,0
Sê San 4,06/12 23:00,214.06,215.0,210.0,514.0,220.0,0.0,220.0,0,0
Kanak,06/12 23:00,513.47,515.0,485.0,15.6,14.0,0.0,14.0,0,0
An Khê,06/12 23:00,428.91,429.0,427.0,43.39,52.0,4.0,48.0,0,1
Srêpốk 3,06/12 23:00,270.75,272.0,268.0,259.0,338.0,0.0,338.0,0,0
Buôn Kuốp,06/12 23:00,409.31,412.0,409.0,212.0,301.0,0.0,301.0,0,0
Buôn Tua Srah,06/12 23:00,486.28,487.5,465.0,37.0,0.0,0.0,0.0,0,0
Đồng Nai 3,06/12 23:00,588.91,590.0,570.0,79.43,50.32,0.0,50.32,0,0
Đồng Nai 4,06/12 23:00,475.54,476.0,474.0,82.1,59.18,2.5,56.68,0,0
Đơn Dương,06/12 23:00,1041.77,1042.0,1018.0,73.73,52.5,15.0,37.5,0,1
Đại Ninh,06/12 23:00,876.74,880.0,860.0,27.0,0.7,0.7,0.0,0,0
Hàm Thuận,06/12 23:00,600.79,605.0,575.0,54.64,47.94,2.9,45.04,0,0
Đa Mi,06/12 23:00,324.1,325.0,323.0,46.64,44.96,0.0,44.96,0,0
Thượng Kon Tum,07/12 23:00,1160.0,,,59.32,59.4,31.62,27.78,0,0
Pleikrông,07/12 23:00,569.35,570.0,537.0,200.0,200.0,0.0,200.0,0,0
Ialy,07/12 23:00,511.04,515.0,490.0,361.0,293.0,0.0,293.0,0,0
Sê San 3,07/12 23:00,303.49,304.5,303.2,311.0,324.0,0.0,324.0,0,0
Sê San 3A,07/12 23:00,238.89,239.0,238.5,249.0,74.0,0.0,74.0,0,0
Sê San 4,07/12 23:00,214.09,215.0,210.0,514.0,220.0,0.0,220.0,0,0
Kanak,07/12 23:00,513.52,515.0,485.0,16.3,14.0,0.0,14.0,0,0
An Khê,07/12 23:00,428.66,429.0,427.0,64.52,52.0,4.0,48.0,0,1
Srêpốk 3,07/12 23:00,270.7,272.0,268.0,239.0,378.0,0.0,378.0,0,0
Buôn Kuốp,07/12 23:00,409.36,412.0,409.0,241.0,279.0,0.0,279.0,0,0
Buôn Tua Srah,07/12 23:00,486.36,487.5,465.0,120.0,99.0,0.0,99.0,0,0
Đồng Nai 3,07/12 23:00,588.89,590.0,570.0,111.63,38.85,0.0,38.85,0,0
Đồng Nai 4,07/12 23:00,475.62,476.0,474.0,58.07,58.07,2.5,55.57,0,0
Đơn Dương,07/12 23:00,1041.81,1042.0,1018.0,90.69,137.5,100.0,37.5,0,2
Đại Ninh,07/12 23:00,876.87,880.0,860.0,48.0,2.7,0.7,2.0,0,0
Hàm Thuận,07/12 23:00,600.96,605.0,575.0,47.85,47.85,2.9,44.95,0,0
Đa Mi,07/12 23:00,324.16,325.0,323.0,45.43,45.43,0.0,45.43,0,0
Thượng Kon Tum,08/12 23:00,1160.0,,,65.98,66.06,38.28,27.78,0,0
Pleikrông,08/12 23:00,569.36,570.0,537.0,200.0,200.0,0.0,200.0,0,0
Ialy,08/12 23:00,511.21,515.0,490.0,330.0,330.0,0.0,330.0,0,0
Sê San 3,08/12 23:00,303.65,304.5,303.2,347.0,344.0,0.0,344.0,0,0
Sê San 3A,08/12 23:00,238.66,239.0,238.5,310.0,0.0,0.0,0.0,0,0
Sê San 4,08/12 23:00,214.15,215.0,210.0,661.0,220.0,0.0,220.0,0,0
Kanak,08/12 23:00,513.52,515.0,485.0,17.6,21.21,0.0,21.21,0,0
An Khê,08/12 23:00,428.99,429.0,427.0,93.52,93.0,45.0,48.0,0,1
Srêpốk 3,08/12 23:00,270.86,272.0,268.0,251.0,198.0,0.0,198.0,0,0
Buôn Kuốp,08/12 23:00,410.29,412.0,409.0,203.0,297.0,0.0,297.0,0,0
Buôn Tua Srah,08/12 23:00,486.54,487.5,465.0,167.0,0.0,0.0,0.0,0,0
Đồng Nai 3,08/12 23:00,588.88,590.0,570.0,34.28,48.84,0.0,48.84,0,0
Đồng Nai 4,08/12 23:00,475.67,476.0,474.0,78.6,78.6,2.5,76.1,0,0
Đơn Dương,08/12 23:00,1041.65,1042.0,1018.0,65.41,62.51,25.0,37.51,0,1
Đại Ninh,08/12 23:00,877.22,880.0,860.0,88.0,9.7,0.7,9.0,0,0
Hàm Thuận,08/12 23:00,600.99,605.0,575.0,20.73,47.55,2.9,44.65,0,0
Đa Mi,08/12 23:00,324.18,325.0,323.0,45.63,44.24,0.0,44.24,0,0
Thượng Kon Tum,09/12 23:00,1160.0,,,37.27,37.35,9.57,27.78,0,0
Pleikrông,09/12 23:00,569.39,570.0,537.0,130.0,200.0,0.0,200.0,0,0
Ialy,09/12 23:00,511.54,515.0,490.0,353.0,353.0,0.0,353.0,0,0
Sê San 3,09/12 23:00,304.3,304.5,303.2,367.0,320.0,0.0,320.0,0,0
Sê San 3A,09/12 23:00,239.0,239.0,238.5,281.0,281.0,0.0,281.0,0,0
Sê San 4,09/12 23:00,214.05,215.0,210.0,367.0,220.0,0.0,220.0,0,0
Kanak,09/12 23:00,513.55,515.0,485.0,13.4,13.4,0.0,13.4,0,0
An Khê,09/12 23:00,428.98,429.0,427.0,97.23,93.0,45.0,48.0,0,1
Srêpốk 3,09/12 23:00,270.67,272.0,268.0,254.0,412.0,0.0,412.0,0,0
Buôn Kuốp,09/12 23:00,409.95,412.0,409.0,217.0,307.0,0.0,307.0,0,0
Buôn Tua Srah,09/12 23:00,486.71,487.5,465.0,116.0,137.0,0.0,137.0,0,0
Đồng Nai 3,09/12 23:00,588.9,590.0,570.0,136.22,48.88,0.0,48.88,0,0
Đồng Nai 4,09/12 23:00,475.67,476.0,474.0,83.05,37.22,2.5,34.72,0,0
Đơn Dương,09/12 23:00,1041.71,1042.0,1018.0,58.03,52.5,15.0,37.5,0,1
Đại Ninh,09/12 23:00,877.52,880.0,860.0,50.0,13.7,0.7,13.0,0,0
Hàm Thuận,09/12 23:00,601.0,605.0,575.0,25.88,52.7,2.9,49.8,0,0
Đa Mi,09/12 21:00,324.27,325.0,323.0,57.96,44.9,0.0,44.9,0,0
Thượng Kon Tum,10/12 23:00,1160.0,,,35.36,35.44,7.66,27.78,0,0
Pleikrông,10/12 23:00,569.46,570.0,537.0,130.0,200.0,0.0,200.0,0,0
Ialy,10/12 23:00,511.7,515.0,490.0,247.0,285.0,0.0,285.0,0,0
Sê San 3,10/12 23:00,304.25,304.5,303.2,299.0,243.0,0.0,243.0,0,0
Sê San 3A,10/12 23:00,238.81,239.0,238.5,244.0,250.0,0.0,250.0,0,0
Sê San 4,10/12 23:00,214.04,215.0,210.0,220.0,220.0,0.0,220.0,0,0
Kanak,10/12 23:00,513.6,515.0,485.0,14.3,0.0,0.0,0.0,0,0
An Khê,10/12 23:00,428.98,429.0,427.0,95.26,93.0,45.0,48.0,0,1
Srêpốk 3,10/12 23:00,270.88,272.0,268.0,286.0,202.0,0.0,202.0,0,0
Buôn Kuốp,10/12 23:00,411.13,412.0,409.0,260.0,304.0,0.0,304.0,0,0
Buôn Tua Srah,10/12 23:00,486.72,487.5,465.0,103.0,85.0,0.0,85.0,0,0
Đồng Nai 3,10/12 23:00,588.89,590.0,570.0,88.8,48.8,0.0,48.8,0,0
Đồng Nai 4,10/12 23:00,475.6,476.0,474.0,78.32,78.32,2.5,75.82,0,0
Đơn Dương,10/12 23:00,1041.68,1042.0,1018.0,57.96,52.43,15.0,37.43,0,1
Đại Ninh,10/12 23:00,877.62,880.0,860.0,41.0,0.7,0.7,0.0,0,0
Hàm Thuận,10/12 23:00,601.03,605.0,575.0,32.33,32.33,2.9,29.43,0,0
Đa Mi,10/12 23:00,324.32,325.0,323.0,29.52,29.52,0.0,29.52,0,0
Thượng Kon Tum,11/12 23:00,1160.0,,,42.98,43.06,15.28,27.78,0,0
Pleikrông,11/12 23:00,569.58,570.0,537.0,153.0,13.0,0.0,13.0,0,0
Ialy,11/12 23:00,511.83,515.0,490.0,105.0,248.0,0.0,248.0,0,0
Sê San 3,11/12 23:00,304.5,304.5,303.2,260.0,443.0,0.0,443.0,0,0
